minutes_year,minutes_date,minutes_location,conference,members_general,members_white,member_colored,url,notes
1773,1773-06-01,Philadelphia,New York,180,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=13,
1773,1773-06-01,Philadelphia,Philadelphia,180,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=13,
1773,1773-06-01,Philadelphia,New Jersey,200,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=13,
1773,1773-06-01,Philadelphia,Maryland,500,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=13,
1773,1773-06-01,Philadelphia,Virginia,100,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=13,
1774,1774-05-25,Philadelphia,New York,222,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=14,
1774,1774-05-25,Philadelphia,Philadelphia,204,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=14,
1774,1774-05-25,Philadelphia,New Jersey,257,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=14,
1774,1774-05-25,Philadelphia,Chester,36,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=14,
1774,1774-05-25,Philadelphia,Baltimore,738,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=14,
1774,1774-05-25,Philadelphia,Frederick,175,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=14,
1774,1774-05-25,Philadelphia,Norfolk,73,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=14,
1774,1774-05-25,Philadelphia,Brunswick,218,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=14,
1774,1774-05-25,Philadelphia,Kent,150,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=14,
1775,1775-05-17,Philadelphia,New York,200,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15,
1775,1775-05-17,Philadelphia,Philadelphia,190,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15,
1775,1775-05-17,Philadelphia,New Jersey,300,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15,
1775,1775-05-17,Philadelphia,Chester,74,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15,
1775,1775-05-17,Philadelphia,Kent,253,,,http://hdl.handle.net/2027/nyp.33433069134967?urlappend=%3Bseq=15,
